Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1	Transcription Units	Regulated-By	GO terms (biological process)
lptC	EQU24_RS03175	677965	678534	LPS export ABC transporter periplasmic protein LptC	lptB // lptA // lptC // kdsC // EQU24_RS03165 // EQU24_RS03160	EQU24_RS03175	lptB // lptA // lptC // kdsC // EQU24_RS03165 // EQU24_RS03160		
kdsC	EQU24_RS03170	677437	677961	3-deoxy-manno-octulosonate-8-phosphatase KdsC	lptB // lptA // lptC // kdsC // EQU24_RS03165 // EQU24_RS03160	EQU24_RS03170	lptB // lptA // lptC // kdsC // EQU24_RS03165 // EQU24_RS03160		
EQU24_RS03165	EQU24_RS03165	676443	677420	KpsF/GutQ family sugar-phosphate isomerase	lptB // lptA // lptC // kdsC // EQU24_RS03165 // EQU24_RS03160	EQU24_RS03165	lptB // lptA // lptC // kdsC // EQU24_RS03165 // EQU24_RS03160		
EQU24_RS03160	EQU24_RS03160	675451	676416	calcium/sodium antiporter	lptB // lptA // lptC // kdsC // EQU24_RS03165 // EQU24_RS03160	EQU24_RS03160	lptB // lptA // lptC // kdsC // EQU24_RS03165 // EQU24_RS03160		
EQU24_RS03155	EQU24_RS03155	674132	675091	ATP-binding cassette domain-containing protein	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120	EQU24_RS03155	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120		
mlaE	EQU24_RS03150	673348	674130	lipid asymmetry maintenance ABC transporter permease subunit MlaE	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120	EQU24_RS03150	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120		
mlaD	EQU24_RS03145	672885	673346	outer membrane lipid asymmetry maintenance protein MlaD	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120	EQU24_RS03145	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120		
EQU24_RS03140	EQU24_RS03140	672567	672881	STAS domain-containing protein	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120	EQU24_RS03140	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120		
murA	EQU24_RS03135	671268	672533	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120	EQU24_RS03135	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120		
EQU24_RS03130	EQU24_RS03130	670632	671258	ATP phosphoribosyltransferase	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120	EQU24_RS03130	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120		
hisD	EQU24_RS03125	669320	670627	histidinol dehydrogenase	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120	EQU24_RS03125	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120		
EQU24_RS03120	EQU24_RS03120	667912	669009	histidinol-phosphate transaminase	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120	EQU24_RS03120	EQU24_RS03155 // mlaE // mlaD // EQU24_RS03140 // murA // EQU24_RS03130 // hisD // EQU24_RS03120		
petA	EQU24_RS03115	666961	667560	ubiquinol-cytochrome c reductase iron-sulfur subunit	petA // EQU24_RS03110 // EQU24_RS03105	EQU24_RS03115	petA // EQU24_RS03110 // EQU24_RS03105		
EQU24_RS03110	EQU24_RS03110	665576	666964	cytochrome bc complex cytochrome b subunit	petA // EQU24_RS03110 // EQU24_RS03105	EQU24_RS03110	petA // EQU24_RS03110 // EQU24_RS03105		
EQU24_RS03105	EQU24_RS03105	664851	665573	cytochrome c1	petA // EQU24_RS03110 // EQU24_RS03105	EQU24_RS03105	petA // EQU24_RS03110 // EQU24_RS03105		
EQU24_RS03100	EQU24_RS03100	664082	664687	stringent starvation protein A	EQU24_RS03100 // EQU24_RS03095	EQU24_RS03100	EQU24_RS03100 // EQU24_RS03095		
EQU24_RS03095	EQU24_RS03095	663708	664085	ClpXP protease specificity-enhancing factor	EQU24_RS03100 // EQU24_RS03095	EQU24_RS03095	EQU24_RS03100 // EQU24_RS03095		
EQU24_RS03090	EQU24_RS03090	662779	663108	DUF1820 family protein	EQU24_RS03090	EQU24_RS03090	EQU24_RS03090		
EQU24_RS03085	EQU24_RS03085	662390	662635	hypothetical protein	EQU24_RS03085 // EQU24_RS03080	EQU24_RS03085	EQU24_RS03085 // EQU24_RS03080		
EQU24_RS03080	EQU24_RS03080	661942	662385	YtoQ family protein	EQU24_RS03085 // EQU24_RS03080	EQU24_RS03080	EQU24_RS03085 // EQU24_RS03080		
fetB	EQU24_RS03075	661077	661871	iron export ABC transporter permease subunit FetB	fetB // EQU24_RS03070 // EQU24_RS03065	EQU24_RS03075	fetB // EQU24_RS03070 // EQU24_RS03065		
EQU24_RS03070	EQU24_RS03070	660428	661090	ATP-binding cassette domain-containing protein	fetB // EQU24_RS03070 // EQU24_RS03065	EQU24_RS03070	fetB // EQU24_RS03070 // EQU24_RS03065		
EQU24_RS03065	EQU24_RS03065	660213	660423	hypothetical protein	fetB // EQU24_RS03070 // EQU24_RS03065	EQU24_RS03065	fetB // EQU24_RS03070 // EQU24_RS03065		
EQU24_RS03060	EQU24_RS03060	657815	659770	alpha-amylase	EQU24_RS03060	EQU24_RS03060	EQU24_RS03060		
EQU24_RS03055	EQU24_RS03055	656676	657563	carbohydrate kinase	EQU24_RS03055 // EQU24_RS03050 // EQU24_RS03045	EQU24_RS03055	EQU24_RS03055 // EQU24_RS03050 // EQU24_RS03045		
EQU24_RS03050	EQU24_RS03050	655835	656683	HAD-IIB family hydrolase	EQU24_RS03055 // EQU24_RS03050 // EQU24_RS03045	EQU24_RS03050	EQU24_RS03055 // EQU24_RS03050 // EQU24_RS03045		
EQU24_RS03045	EQU24_RS03045	653696	655816	glycosyltransferase	EQU24_RS03055 // EQU24_RS03050 // EQU24_RS03045	EQU24_RS03045	EQU24_RS03055 // EQU24_RS03050 // EQU24_RS03045		
EQU24_RS03040	EQU24_RS03040	653038	653427	hypothetical protein	EQU24_RS03040	EQU24_RS03040	EQU24_RS03040		
yidD	EQU24_RS03035	652569	652808	membrane protein insertion efficiency factor YidD	yidD	EQU24_RS03035	yidD		
EQU24_RS03030	EQU24_RS03030	651747	652436	Crp/Fnr family transcriptional regulator	EQU24_RS03030	EQU24_RS03030	EQU24_RS03030		
hcp	EQU24_RS03025	649988	651652	hydroxylamine reductase	hcp // EQU24_RS03020	EQU24_RS03025	hcp // EQU24_RS03020		
EQU24_RS03020	EQU24_RS03020	648939	649964	2Fe-2S iron-sulfur cluster binding domain-containing protein	hcp // EQU24_RS03020	EQU24_RS03020	hcp // EQU24_RS03020		
EQU24_RS03015	EQU24_RS03015	646924	648516	ABC-F family ATPase	EQU24_RS03015	EQU24_RS03015	EQU24_RS03015		
EQU24_RS03010	EQU24_RS03010	645523	646452	Rpn family recombination-promoting nuclease/putative transposase	EQU24_RS03010	EQU24_RS03010	EQU24_RS03010		
EQU24_RS03005	EQU24_RS03005	644394	644957	hypothetical protein	EQU24_RS03005	EQU24_RS03005	EQU24_RS03005		
EQU24_RS03000	EQU24_RS03000	638909	644074	RecQ family ATP-dependent DNA helicase	EQU24_RS03000	EQU24_RS03000	EQU24_RS03000		
EQU24_RS02995	EQU24_RS02995	638647	638847	hypothetical protein	EQU24_RS02995	EQU24_RS02995	EQU24_RS02995		
EQU24_RS02990	EQU24_RS02990	637540	638418	multidrug transporter	EQU24_RS02990	EQU24_RS02990	EQU24_RS02990		
EQU24_RS02985	EQU24_RS02985	636468	637481	quinone-dependent dihydroorotate dehydrogenase	EQU24_RS02985	EQU24_RS02985	EQU24_RS02985		
EQU24_RS02980	EQU24_RS02980	635800	636348	cytochrome b	EQU24_RS02980	EQU24_RS02980	EQU24_RS02980		
EQU24_RS02975	EQU24_RS02975	635256	635465	hypothetical protein	EQU24_RS02975	EQU24_RS02975	EQU24_RS02975		
pqqA	EQU24_RS02970	634778	634852	pyrroloquinoline quinone precursor peptide PqqA	pqqA	EQU24_RS02970	pqqA		
pqqB	EQU24_RS02965	633663	634577	pyrroloquinoline quinone biosynthesis protein PqqB	pqqB // pqqC // EQU24_RS02955	EQU24_RS02965	pqqB // pqqC // EQU24_RS02955		
pqqC	EQU24_RS02960	632909	633640	pyrroloquinoline-quinone synthase PqqC	pqqB // pqqC // EQU24_RS02955	EQU24_RS02960	pqqB // pqqC // EQU24_RS02955		
EQU24_RS02955	EQU24_RS02955	632317	632877	Uma2 family endonuclease	pqqB // pqqC // EQU24_RS02955	EQU24_RS02955	pqqB // pqqC // EQU24_RS02955		
pqqD	EQU24_RS02950	631959	632231	pyrroloquinoline quinone biosynthesis peptide chaperone PqqD	pqqD	EQU24_RS02950	pqqD		
pqqE	EQU24_RS02945	630854	631981	pyrroloquinoline quinone biosynthesis protein PqqE	pqqE	EQU24_RS02945	pqqE		
EQU24_RS02940	EQU24_RS02940	630001	630576	UbiX family flavin prenyltransferase	EQU24_RS02940 // pip	EQU24_RS02940	EQU24_RS02940 // pip		
pip	EQU24_RS02935	629040	629996	prolyl aminopeptidase	EQU24_RS02940 // pip	EQU24_RS02935	EQU24_RS02940 // pip		
EQU24_RS02930	EQU24_RS02930	628652	628873	type II toxin-antitoxin system Phd/YefM family antitoxin	EQU24_RS02930 // EQU24_RS02925	EQU24_RS02930	EQU24_RS02930 // EQU24_RS02925		
EQU24_RS02925	EQU24_RS02925	628258	628646	type II toxin-antitoxin system VapC family toxin	EQU24_RS02930 // EQU24_RS02925	EQU24_RS02925	EQU24_RS02930 // EQU24_RS02925		
EQU24_RS02920	EQU24_RS02920	627239	628117	hypothetical protein	EQU24_RS02920	EQU24_RS02920	EQU24_RS02920		
EQU24_RS02915	EQU24_RS02915	625230	626324	FAD-dependent oxidoreductase	EQU24_RS02915 // EQU24_RS02910	EQU24_RS02915	EQU24_RS02915 // EQU24_RS02910		
EQU24_RS02910	EQU24_RS02910	625005	625234	hypothetical protein	EQU24_RS02915 // EQU24_RS02910	EQU24_RS02910	EQU24_RS02915 // EQU24_RS02910		
dmeF	EQU24_RS02905	623966	624883	CDF family Co(II)/Ni(II) efflux transporter DmeF	dmeF	EQU24_RS02905	dmeF		
EQU24_RS02900	EQU24_RS02900	623023	623718	OmpA family protein	EQU24_RS02900	EQU24_RS02900	EQU24_RS02900		
EQU24_RS02895	EQU24_RS02895	622536	622949	exosortase system-associated protein, TIGR04073 family	EQU24_RS02895	EQU24_RS02895	EQU24_RS02895		
EQU24_RS02890	EQU24_RS02890	621495	621989	hypothetical protein	EQU24_RS02890 // EQU24_RS02885	EQU24_RS02890	EQU24_RS02890 // EQU24_RS02885		
EQU24_RS02885	EQU24_RS02885	620077	621465	hypothetical protein	EQU24_RS02890 // EQU24_RS02885	EQU24_RS02885	EQU24_RS02890 // EQU24_RS02885		
EQU24_RS02880	EQU24_RS02880	618805	619170	hypothetical protein	EQU24_RS02880	EQU24_RS02880	EQU24_RS02880		
nadB	EQU24_RS02875	616951	618552	L-aspartate oxidase	nadB	EQU24_RS02875	nadB		
rpoE	EQU24_RS02870	616180	616770	RNA polymerase sigma factor RpoE	rpoE // EQU24_RS02865	EQU24_RS02870	rpoE // EQU24_RS02865		
EQU24_RS02865	EQU24_RS02865	615613	616167	hypothetical protein	rpoE // EQU24_RS02865	EQU24_RS02865	rpoE // EQU24_RS02865		
EQU24_RS02860	EQU24_RS02860	614646	615509	outer membrane lipoprotein-sorting protein	EQU24_RS02860	EQU24_RS02860	EQU24_RS02860		
EQU24_RS02855	EQU24_RS02855	613004	614323	DegQ family serine endoprotease	EQU24_RS02855 // lepA	EQU24_RS02855	EQU24_RS02855 // lepA		
lepA	EQU24_RS02850	611202	613001	elongation factor 4	EQU24_RS02855 // lepA	EQU24_RS02850	EQU24_RS02855 // lepA		
lepB	EQU24_RS02845	610377	611153	signal peptidase I	lepB // EQU24_RS02840 // EQU24_RS02835 // EQU24_RS02830 // recO // pdxJ // EQU24_RS02815	EQU24_RS02845	lepB // EQU24_RS02840 // EQU24_RS02835 // EQU24_RS02830 // recO // pdxJ // EQU24_RS02815		
EQU24_RS02840	EQU24_RS02840	609967	610344	DUF4845 domain-containing protein	lepB // EQU24_RS02840 // EQU24_RS02835 // EQU24_RS02830 // recO // pdxJ // EQU24_RS02815	EQU24_RS02840	lepB // EQU24_RS02840 // EQU24_RS02835 // EQU24_RS02830 // recO // pdxJ // EQU24_RS02815		
EQU24_RS02835	EQU24_RS02835	609287	609970	ribonuclease III	lepB // EQU24_RS02840 // EQU24_RS02835 // EQU24_RS02830 // recO // pdxJ // EQU24_RS02815	EQU24_RS02835	lepB // EQU24_RS02840 // EQU24_RS02835 // EQU24_RS02830 // recO // pdxJ // EQU24_RS02815		
EQU24_RS02830	EQU24_RS02830	608409	609290	GTPase Era	lepB // EQU24_RS02840 // EQU24_RS02835 // EQU24_RS02830 // recO // pdxJ // EQU24_RS02815	EQU24_RS02830	lepB // EQU24_RS02840 // EQU24_RS02835 // EQU24_RS02830 // recO // pdxJ // EQU24_RS02815		
recO	EQU24_RS02825	607706	608416	DNA repair protein RecO	lepB // EQU24_RS02840 // EQU24_RS02835 // EQU24_RS02830 // recO // pdxJ // EQU24_RS02815	EQU24_RS02825	lepB // EQU24_RS02840 // EQU24_RS02835 // EQU24_RS02830 // recO // pdxJ // EQU24_RS02815		
pdxJ	EQU24_RS02820	606954	607709	pyridoxine 5'-phosphate synthase	lepB // EQU24_RS02840 // EQU24_RS02835 // EQU24_RS02830 // recO // pdxJ // EQU24_RS02815	EQU24_RS02820	lepB // EQU24_RS02840 // EQU24_RS02835 // EQU24_RS02830 // recO // pdxJ // EQU24_RS02815		
EQU24_RS02815	EQU24_RS02815	606213	606950	serine/threonine-protein phosphatase	lepB // EQU24_RS02840 // EQU24_RS02835 // EQU24_RS02830 // recO // pdxJ // EQU24_RS02815	EQU24_RS02815	lepB // EQU24_RS02840 // EQU24_RS02835 // EQU24_RS02830 // recO // pdxJ // EQU24_RS02815		
EQU24_RS02810	EQU24_RS02810	605031	606005	sigma-54-dependent Fis family transcriptional regulator	EQU24_RS02810 // EQU24_RS02805	EQU24_RS02810	EQU24_RS02810 // EQU24_RS02805		
EQU24_RS02805	EQU24_RS02805	604296	605012	sulfite exporter TauE/SafE family protein	EQU24_RS02810 // EQU24_RS02805	EQU24_RS02805	EQU24_RS02810 // EQU24_RS02805		
pyrF	EQU24_RS02800	603161	603886	orotidine-5'-phosphate decarboxylase	pyrF	EQU24_RS02800	pyrF		
EQU24_RS02795	EQU24_RS02795	602085	602987	AEC family transporter	EQU24_RS02795 // EQU24_RS02790 // EQU24_RS02785	EQU24_RS02795	EQU24_RS02795 // EQU24_RS02790 // EQU24_RS02785		
EQU24_RS02790	EQU24_RS02790	600850	602076	molybdopterin-binding protein	EQU24_RS02795 // EQU24_RS02790 // EQU24_RS02785	EQU24_RS02790	EQU24_RS02795 // EQU24_RS02790 // EQU24_RS02785		
EQU24_RS02785	EQU24_RS02785	598953	600845	ATP-binding cassette domain-containing protein	EQU24_RS02795 // EQU24_RS02790 // EQU24_RS02785	EQU24_RS02785	EQU24_RS02795 // EQU24_RS02790 // EQU24_RS02785		
EQU24_RS02780	EQU24_RS02780	598790	598877	tRNA-Ser	EQU24_RS02780	EQU24_RS02780	EQU24_RS02780		
EQU24_RS02775	EQU24_RS02775	596149	598275	AAA family ATPase	EQU24_RS02775	EQU24_RS02775	EQU24_RS02775		
EQU24_RS02770	EQU24_RS02770	595273	596013	hypothetical protein	EQU24_RS02770 // EQU24_RS02765	EQU24_RS02770	EQU24_RS02770 // EQU24_RS02765		
EQU24_RS02765	EQU24_RS02765	595217	595306	CRISPR-associated DxTHG motif protein	EQU24_RS02770 // EQU24_RS02765	EQU24_RS02765	EQU24_RS02770 // EQU24_RS02765		
EQU24_RS02760	EQU24_RS02760	594142	595152	WYL domain-containing protein	EQU24_RS02760	EQU24_RS02760	EQU24_RS02760		
rrf	EQU24_RS02755	593871	593986	5S ribosomal RNA	rrf	EQU24_RS02755	rrf		
EQU24_RS02750	EQU24_RS02750	590676	593596	23S ribosomal RNA	EQU24_RS02750	EQU24_RS02750	EQU24_RS02750		
EQU24_RS02745	EQU24_RS02745	590291	590366	tRNA-Ala	EQU24_RS02745 // EQU24_RS02740 // EQU24_RS02735 // EQU24_RS02730	EQU24_RS02745	EQU24_RS02745 // EQU24_RS02740 // EQU24_RS02735 // EQU24_RS02730		
EQU24_RS02740	EQU24_RS02740	590143	590219	tRNA-Ile	EQU24_RS02745 // EQU24_RS02740 // EQU24_RS02735 // EQU24_RS02730	EQU24_RS02740	EQU24_RS02745 // EQU24_RS02740 // EQU24_RS02735 // EQU24_RS02730		
EQU24_RS02735	EQU24_RS02735	588540	590075	16S ribosomal RNA	EQU24_RS02745 // EQU24_RS02740 // EQU24_RS02735 // EQU24_RS02730	EQU24_RS02735	EQU24_RS02745 // EQU24_RS02740 // EQU24_RS02735 // EQU24_RS02730		
EQU24_RS02730	EQU24_RS02730	586969	588162	tyrosine--tRNA ligase	EQU24_RS02745 // EQU24_RS02740 // EQU24_RS02735 // EQU24_RS02730	EQU24_RS02730	EQU24_RS02745 // EQU24_RS02740 // EQU24_RS02735 // EQU24_RS02730		
EQU24_RS02725	EQU24_RS02725	585512	586819	hypothetical protein	EQU24_RS02725 // EQU24_RS02720	EQU24_RS02725	EQU24_RS02725 // EQU24_RS02720		
EQU24_RS02720	EQU24_RS02720	584363	585493	anhydro-N-acetylmuramic acid kinase	EQU24_RS02725 // EQU24_RS02720	EQU24_RS02720	EQU24_RS02725 // EQU24_RS02720		
erpA	EQU24_RS02715	584045	584377	iron-sulfur cluster insertion protein ErpA	erpA	EQU24_RS02715	erpA		
EQU24_RS02710	EQU24_RS02710	582947	583978	N-acetyl-gamma-glutamyl-phosphate reductase	EQU24_RS02710	EQU24_RS02710	EQU24_RS02710		
EQU24_RS02705	EQU24_RS02705	579749	582310	TonB-dependent receptor	EQU24_RS02705	EQU24_RS02705	EQU24_RS02705		
EQU24_RS02700	EQU24_RS02700	577950	579188	LLM class flavin-dependent oxidoreductase	EQU24_RS02700	EQU24_RS02700	EQU24_RS02700		
EQU24_RS02695	EQU24_RS02695	577611	577892	hypothetical protein	EQU24_RS02695	EQU24_RS02695	EQU24_RS02695		
EQU24_RS02690	EQU24_RS02690	576506	577444	divergent polysaccharide deacetylase family protein	EQU24_RS02690 // EQU24_RS02685	EQU24_RS02690	EQU24_RS02690 // EQU24_RS02685		
EQU24_RS02685	EQU24_RS02685	575174	576490	S41 family peptidase	EQU24_RS02690 // EQU24_RS02685	EQU24_RS02685	EQU24_RS02690 // EQU24_RS02685		
EQU24_RS02680	EQU24_RS02680	573934	575127	peptidase M23	EQU24_RS02680 // EQU24_RS02675	EQU24_RS02680	EQU24_RS02680 // EQU24_RS02675		
EQU24_RS02675	EQU24_RS02675	573585	573941	hypothetical protein	EQU24_RS02680 // EQU24_RS02675	EQU24_RS02675	EQU24_RS02680 // EQU24_RS02675		
EQU24_RS02670	EQU24_RS02670	572425	572739	winged helix-turn-helix transcriptional regulator	EQU24_RS02670	EQU24_RS02670	EQU24_RS02670		
EQU24_RS02665	EQU24_RS02665	571929	572369	rhodanese-like domain-containing protein	EQU24_RS02665	EQU24_RS02665	EQU24_RS02665		
secB	EQU24_RS02660	571395	571865	protein-export chaperone SecB	secB // EQU24_RS02655	EQU24_RS02660	secB // EQU24_RS02655		
EQU24_RS02655	EQU24_RS02655	570390	571388	NAD(P)-dependent glycerol-3-phosphate dehydrogenase	secB // EQU24_RS02655	EQU24_RS02655	secB // EQU24_RS02655		
trmL	EQU24_RS02650	569611	570081	tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL	trmL	EQU24_RS02650	trmL		
EQU24_RS02645	EQU24_RS02645	566710	569214	glycogen/starch/alpha-glucan phosphorylase	EQU24_RS02645	EQU24_RS02645	EQU24_RS02645		
secA	EQU24_RS02640	563652	566372	preprotein translocase subunit SecA	secA	EQU24_RS02640	secA		
EQU24_RS02635	EQU24_RS02635	562363	563340	GDP-L-fucose synthase	EQU24_RS02635 // gmd	EQU24_RS02635	EQU24_RS02635 // gmd		
gmd	EQU24_RS02630	561239	562360	GDP-mannose 4,6-dehydratase	EQU24_RS02635 // gmd	EQU24_RS02630	EQU24_RS02635 // gmd		
EQU24_RS02625	EQU24_RS02625	558105	560318	bifunctional permease/carbonic anhydrase	EQU24_RS02625	EQU24_RS02625	EQU24_RS02625		
rsxA	EQU24_RS02620	557259	557840	electron transport complex subunit RsxA	rsxA	EQU24_RS02620	rsxA		
rsxB	EQU24_RS02615	556540	557073	electron transport complex subunit RsxB	rsxB // rsxC // rsxD // rsxG // EQU24_RS02595 // nth	EQU24_RS02615	rsxB // rsxC // rsxD // rsxG // EQU24_RS02595 // nth		
rsxC	EQU24_RS02610	555063	556547	electron transport complex subunit RsxC	rsxB // rsxC // rsxD // rsxG // EQU24_RS02595 // nth	EQU24_RS02610	rsxB // rsxC // rsxD // rsxG // EQU24_RS02595 // nth		
rsxD	EQU24_RS02605	554031	555062	electron transport complex subunit RsxD	rsxB // rsxC // rsxD // rsxG // EQU24_RS02595 // nth	EQU24_RS02605	rsxB // rsxC // rsxD // rsxG // EQU24_RS02595 // nth		
rsxG	EQU24_RS02600	553390	554034	electron transport complex subunit RsxG	rsxB // rsxC // rsxD // rsxG // EQU24_RS02595 // nth	EQU24_RS02600	rsxB // rsxC // rsxD // rsxG // EQU24_RS02595 // nth		
EQU24_RS02595	EQU24_RS02595	552701	553390	electron transport complex subunit E	rsxB // rsxC // rsxD // rsxG // EQU24_RS02595 // nth	EQU24_RS02595	rsxB // rsxC // rsxD // rsxG // EQU24_RS02595 // nth		
nth	EQU24_RS02590	552072	552704	endonuclease III	rsxB // rsxC // rsxD // rsxG // EQU24_RS02595 // nth	EQU24_RS02590	rsxB // rsxC // rsxD // rsxG // EQU24_RS02595 // nth		
EQU24_RS02585	EQU24_RS02585	551183	551515	hypothetical protein	EQU24_RS02585	EQU24_RS02585	EQU24_RS02585		
EQU24_RS02580	EQU24_RS02580	550217	551068	DUF692 domain-containing protein	EQU24_RS02580 // EQU24_RS02575	EQU24_RS02580	EQU24_RS02580 // EQU24_RS02575		
EQU24_RS02575	EQU24_RS02575	549469	550236	hypothetical protein	EQU24_RS02580 // EQU24_RS02575	EQU24_RS02575	EQU24_RS02580 // EQU24_RS02575		
EQU24_RS02570	EQU24_RS02570	548337	549158	DUF4124 domain-containing protein	EQU24_RS02570	EQU24_RS02570	EQU24_RS02570		
EQU24_RS02565	EQU24_RS02565	547803	548249	D-tyrosyl-tRNA(Tyr) deacylase	EQU24_RS02565	EQU24_RS02565	EQU24_RS02565		
EQU24_RS02560	EQU24_RS02560	545755	547095	U32 family peptidase	EQU24_RS02560	EQU24_RS02560	EQU24_RS02560		
EQU24_RS02555	EQU24_RS02555	543574	545553	hypothetical protein	EQU24_RS02555	EQU24_RS02555	EQU24_RS02555		
EQU24_RS02550	EQU24_RS02550	543106	543312	hypothetical protein	EQU24_RS02550 // EQU24_RS02545 // ispH	EQU24_RS02550	EQU24_RS02550 // EQU24_RS02545 // ispH		
EQU24_RS02545	EQU24_RS02545	542586	543071	RraA family protein	EQU24_RS02550 // EQU24_RS02545 // ispH	EQU24_RS02545	EQU24_RS02550 // EQU24_RS02545 // ispH		
ispH	EQU24_RS02540	541605	542549	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	EQU24_RS02550 // EQU24_RS02545 // ispH	EQU24_RS02540	EQU24_RS02550 // EQU24_RS02545 // ispH		
EQU24_RS02535	EQU24_RS02535	539617	541353	hypothetical protein	EQU24_RS02535	EQU24_RS02535	EQU24_RS02535		
EQU24_RS02530	EQU24_RS02530	538999	539382	hypothetical protein	EQU24_RS02530	EQU24_RS02530	EQU24_RS02530		
EQU24_RS02525	EQU24_RS02525	538487	538846	sulfurtransferase	EQU24_RS02525 // EQU24_RS02520	EQU24_RS02525	EQU24_RS02525 // EQU24_RS02520		
EQU24_RS02520	EQU24_RS02520	538094	538486	RNA-binding protein	EQU24_RS02525 // EQU24_RS02520	EQU24_RS02520	EQU24_RS02525 // EQU24_RS02520		
tusE	EQU24_RS02515	537743	538075	TusE/DsrC/DsvC family sulfur relay protein	tusE // EQU24_RS02510 // EQU24_RS02505	EQU24_RS02515	tusE // EQU24_RS02510 // EQU24_RS02505		
EQU24_RS02510	EQU24_RS02510	537462	537752	hypothetical protein	tusE // EQU24_RS02510 // EQU24_RS02505	EQU24_RS02510	tusE // EQU24_RS02510 // EQU24_RS02505		
EQU24_RS02505	EQU24_RS02505	537136	537456	multidrug efflux SMR transporter	tusE // EQU24_RS02510 // EQU24_RS02505	EQU24_RS02505	tusE // EQU24_RS02510 // EQU24_RS02505		
EQU24_RS02500	EQU24_RS02500	536178	536978	flagellar brake protein	EQU24_RS02500 // EQU24_RS02495	EQU24_RS02500	EQU24_RS02500 // EQU24_RS02495		
EQU24_RS02495	EQU24_RS02495	534822	536171	exodeoxyribonuclease VII large subunit	EQU24_RS02500 // EQU24_RS02495	EQU24_RS02495	EQU24_RS02500 // EQU24_RS02495		
thpR	EQU24_RS02490	534092	534613	RNA 2',3'-cyclic phosphodiesterase	thpR // EQU24_RS02485	EQU24_RS02490	thpR // EQU24_RS02485		
EQU24_RS02485	EQU24_RS02485	533466	534086	hypothetical protein	thpR // EQU24_RS02485	EQU24_RS02485	thpR // EQU24_RS02485		
EQU24_RS02480	EQU24_RS02480	532787	532966	hypothetical protein	EQU24_RS02480	EQU24_RS02480	EQU24_RS02480		
EQU24_RS02475	EQU24_RS02475	531126	532661	GGDEF domain-containing protein	EQU24_RS02475	EQU24_RS02475	EQU24_RS02475		
EQU24_RS02470	EQU24_RS02470	530462	531082	thiol:disulfide interchange protein DsbA/DsbL	EQU24_RS02470	EQU24_RS02470	EQU24_RS02470		
EQU24_RS02465	EQU24_RS02465	530228	530419	hypothetical protein	EQU24_RS02465	EQU24_RS02465	EQU24_RS02465		
EQU24_RS02460	EQU24_RS02460	529220	529900	cytochrome c4	EQU24_RS02460	EQU24_RS02460	EQU24_RS02460		
EQU24_RS02455	EQU24_RS02455	528197	528802	YihA family ribosome biogenesis GTP-binding protein	EQU24_RS02455	EQU24_RS02455	EQU24_RS02455		
EQU24_RS02450	EQU24_RS02450	526803	527684	MBL fold metallo-hydrolase	EQU24_RS02450	EQU24_RS02450	EQU24_RS02450		
EQU24_RS02445	EQU24_RS02445	525815	526663	HDOD domain-containing protein	EQU24_RS02445	EQU24_RS02445	EQU24_RS02445		
polA	EQU24_RS02440	522486	525209	DNA polymerase I	polA	EQU24_RS02440	polA		
EQU24_RS02435	EQU24_RS02435	520177	522297	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	EQU24_RS02435	EQU24_RS02435	EQU24_RS02435		
